timestamp,speed_kmh,acceleration_mps2,brake_intensity,battery_level,energy_consumption,regen_braking_usage,lane_deviation,obstacle_distance,traffic_density,weather_condition,road_type,steering_angle,reaction_time,ADAS_output
01-01-2023 00:00,44.94481426,-0.758155089,0.729998311,65.623734,0.667932878,84.72365777,0.966220812,4.266110234,41,Rainy,Highway,13.58233642,2.094568242,Brake
01-01-2023 00:00,114.0857168,-1.002527423,0.184511996,48.63278309,0.280153773,49.45170437,1.5244075,82.85046197,23,Foggy,Urban,-11.51297273,2.318870136,Lane Correct
01-01-2023 00:00,87.83927302,-1.943076525,0.346639694,96.62735986,0.340082527,19.54656106,-0.147280498,24.93075823,12,Rainy,Rural,-22.07388337,2.12885913,Maintain Speed
01-01-2023 00:00,71.8390181,0.643600021,0.663280637,25.80295284,0.443275144,73.66417866,-0.843285073,28.39373644,34,Sunny,Highway,-9.533480518,0.497469466,Maintain Speed
01-01-2023 00:00,18.72223685,-0.140255037,0.482089345,60.84635952,0.486941335,41.86781357,-0.724613703,22.62452783,15,Sunny,Urban,2.728121337,0.959572934,Accelerate
01-01-2023 00:00,18.71934244,2.194205954,0.738571039,71.51995142,0.560297438,59.46274835,0.787793033,84.00839552,42,Rainy,Rural,-23.89621174,0.872862077,Accelerate
01-01-2023 00:00,6.97003346,-2.807342517,0.961207901,83.42862649,0.585374055,10.72652902,0.270232136,97.89019954,3,Sunny,Rural,-15.92752297,1.071661577,Accelerate
01-01-2023 00:00,103.9411375,0.863207565,0.116546688,43.66224789,0.965861056,63.15839895,-0.054023476,75.51866509,2,Rainy,Urban,28.24974759,0.872379792,Maintain Speed
01-01-2023 00:00,72.13380141,1.577693271,0.709567716,70.25758123,1.068189063,37.35504889,-1.188903685,82.35778605,33,Snowy,Rural,-17.75031453,2.005152849,Maintain Speed
01-01-2023 00:00,84.96870934,1.556919415,0.230344156,33.80413978,0.686870495,33.41897497,1.50182275,62.05004605,14,Foggy,Highway,-26.18939181,1.811851168,Lane Correct
